DSA,DBMS,OS,CN,OOP,Aptitude,System Design,weak_subjects,recommended_resources
45,70,40,65,80,55,50,"DSA,OS,Aptitude","DSA Course,Operating Systems Notes,Aptitude Practice Set"
85,78,82,75,88,90,70,"System Design","System Design Primer,Grokking the System Design Interview"
60,55,50,65,70,58,45,"DBMS,OS,System Design","DBMS Tutorials,Operating Systems Concepts,System Design Guide"
72,68,60,70,75,65,55,"OS,System Design","Operating Systems Notes,System Design Primer"
90,88,85,92,87,80,78,"None","Advanced DSA Problems,Mock Interviews"
50,45,55,60,65,50,40,"DBMS,System Design,Aptitude","DBMS Course,System Design Guide,Aptitude Practice Set"
35,60,42,58,62,48,38,"DSA,OS,System Design,Aptitude","DSA Course,Operating Systems Notes,System Design Primer,Aptitude Practice"
78,82,75,80,85,70,65,"System Design","System Design Primer,Distributed Systems Course"
55,50,48,52,68,60,45,"DBMS,OS,System Design","DBMS Tutorials,Operating Systems Concepts,System Design Guide"
92,90,88,85,91,87,82,"None","Competitive Programming Handbook,Advanced System Design"
65,60,58,62,72,66,55,"DBMS,OS,System Design","DBMS Course,Operating Systems Notes,System Design Primer"
40,52,45,50,60,48,42,"DSA,OS,Aptitude,System Design","DSA Practice,Operating Systems Tutorials,Aptitude Practice,System Design Guide"
88,76,80,74,86,78,72,"None","LeetCode Premium,Mock Interviews"
48,58,52,60,66,54,46,"DSA,DBMS,System Design","DSA Course,DBMS Tutorials,System Design Primer"
70,72,68,66,74,69,60,"System Design","System Design Primer,Scalable Systems Course"
30,45,35,40,50,38,32,"DSA,DBMS,OS,CN,Aptitude,System Design","Foundation Courses for All Subjects"
82,79,77,81,84,76,69,"System Design","Advanced System Design,Grokking the System Design Interview"
58,62,55,60,68,64,52,"OS,System Design","Operating Systems Notes,System Design Guide"
46,50,42,48,60,45,40,"DSA,OS,Aptitude,System Design","DSA Practice,Operating Systems Tutorials,Aptitude Practice,System Design Primer"
75,80,72,78,83,74,68,"System Design","System Design Primer,Cloud Architecture Course"
68,65,60,62,70,67,55,"OS,System Design","Operating Systems Concepts,System Design Guide"
52,48,50,54,63,57,44,"DBMS,System Design,Aptitude","DBMS Course,System Design Tutorials,Aptitude Practice"
95,92,90,94,93,88,85,"None","Elite Coding Problems,Advanced Mock Interviews"
41,55,43,50,59,47,39,"DSA,OS,Aptitude,System Design","DSA Course,Operating Systems Notes,Aptitude Practice,System Design Primer"
63,58,54,60,69,62,51,"DBMS,OS,System Design","DBMS Tutorials,Operating Systems Concepts,System Design Guide"
80,85,78,82,88,75,70,"System Design","System Design Primer,Distributed Systems Course"
49,52,47,55,64,50,43,"DSA,OS,System Design","DSA Practice,Operating Systems Tutorials,System Design Guide"
87,83,79,85,90,82,76,"None","LeetCode Hard Problems,System Design Mock Interviews"
56,60,52,58,66,59,48,"OS,System Design","Operating Systems Notes,System Design Primer"
34,42,38,45,52,40,36,"DSA,DBMS,OS,Aptitude,System Design","Beginner Courses for Core Subjects"
